repo_id,user_id
431,30552031
519,3520259
528,226893
528,365970
13095869,1280848
13095869,10931346
31211261,10372782
3217567,9389508
3228357,609657
26172924,500116
26172924,1401734
26258803,911320
26258803,2085851
26258803,12690036
3360645,2041051
3360645,2091093
3388388,1590777
3388388,4626048
37084324,2443859
22772142,3714055
10277858,2363826
10279721,8998198
10279721,10500130
10279721,12712820
10312696,158911
10313229,84673
10313229,975647
24139115,258809
10390278,5770160
10390278,6611067
10393750,256318
10393750,256580
10393750,4757075
10393750,10970105
10400153,633458
10400153,2162179
14210902,12324885
4846,303906
4846,326434
4964,42364
4964,49796
4964,1024627
4986,1405425
5022,609657
5101,68942
5101,1931015
5101,2940697
5101,10878721
5167,18967
5210,11445902
5219,3582280
5224,2073323
5224,8265882
5230,136227
5230,431270
5230,721031
14451906,3017133
14451906,11078192
14477484,8017809
14537323,7615219
28557277,124792
17991525,2097663
17991525,3550992
17991525,7153383
17991525,7670498
17991525,11045397
18004957,1566657
18004957,6916735
18006157,197259
18059067,805477
18059067,4087924
2539527,211736
2539527,2014529
28557277,1979481
28557277,3412914
28557277,5003497
9472730,31012
9472730,244844
9472730,550911
9472730,1345150
9472730,1835685
9472730,2177132
9472730,3538720
9511697,6072075
9527814,447510
9527814,2989946
4003838,5939494
18462488,1037922
10998645,7486661
10998645,7819454
11072234,185687
11072234,1364447
11072234,8231300
11077845,1404600
11077845,1453834
9626183,368987
9626183,1705822
9626183,1753859
9626183,1803267
9626183,7647789
9626183,7679017
9626183,7797756
9626183,7817314
9626183,7906224
9626183,8446558
9639319,2300964
424503,3089980
424503,6600532
424503,6741786
687922,8316650
31516897,1090630
31516897,2979504
31516897,8270472
31516897,12493697
15962985,746727
15962985,3524853
15962985,8107851
16174927,1339848
16174927,2522485
477175,731102
510486,429818
510486,4664013
11094978,7035739
11116784,465466
11116784,1407129
11116784,7569502
11116784,8441834
11116784,10217182
11156150,900371
4198417,13341
4198417,249112
4198417,1289000
4198417,5604573
4198417,7649609
4198417,11612112
4234273,5554234
4234273,5783535
16351512,134176
16351512,410559
16351512,775072
21577612,2447962
21577612,3861612
21577612,6908182
21586367,8780179
21607144,12690036
32026925,303478
32118325,4883417
32118325,5843725
32173699,169861
26985008,3047500
26985008,3182338
26985008,3569935
27026282,2393030
27026282,2565627
27026282,4992971
27026282,7909564
27261269,2823668
15870,4518301
15939,8015688
16356,1757386
16356,8013522
8550098,10785016
13356854,295246
13356854,2740028
13356854,9358874
13378441,112582
13395383,1373680
13395383,4228390
13403042,594716
13403042,4975684
13403042,11047886
13407509,4605019
13417498,1177013
13417498,7381627
27478957,6988446
18045,208414
18045,317106
11750891,2655977
11784159,217965
11784159,4488044
11784159,7048626
11784159,8384260
11784159,10835476
11794421,15183
11794421,1767741
11794421,4468197
8778426,1145417
8778426,1223105
8778426,11586471
6143269,1835685
12150380,2689832
12159636,1214898
12159636,2151886
10512714,3978389
10512714,8032909
10512714,11251293
10512714,11440771
64966,1309374
64966,2527001
528,883347
528,2356057
528,4672320
528,6089206
540,497397
540,1741166
708,94824
708,544410
708,655685
708,883347
708,1039732
770,667363
770,5977639
770,10078787
837,7338054
837,12022476
864,256496
864,2090455
864,2912632
864,9566784
32539851,10716911
6218870,242073
6282369,187863
6282369,1439000
3601879,1202470
3601879,11754171
33798353,573371
33798353,1364711
33798353,2079741
33798353,7181429
33798353,10269164
27586452,2049891
27601818,1224028
27601818,2704314
2847808,1547456
2847808,1804387
2847808,8290886
5313,163658
5313,165642
5455,161936
5455,657759
5455,861241
5455,4256842
5455,7907139
5603,162684
5754,1715068
5754,3327334
6026,98914
6026,144121
6026,341868
6026,970609
6026,6163158
6177,543767
6177,3692715
6313,47145
6313,266241
6313,377471
6313,560596
6313,2459731
6313,2635061
6550,51010
6550,4635160
6706,4257
6706,25455
6706,92281
6706,169526
6706,421512
6782,18273
6782,18930
6782,79264
14660968,191134
14660968,731102
14718721,391583
14718721,1089489
1996840,9156854
13459418,2579728
13465629,3861142
13465629,4397853
13465629,6155186
13465629,11393989
13516781,3228182
13516781,4264999
13516781,11228980
19388,2973002
19388,6857198
19550,181427
19626,81856
19626,164217
19626,8395619
20096,1192459
20429,113354
20629,908537
21274,258000
21274,2576806
22007,183398
22007,2113619
22616,139474
22791,11306
22791,38142
22791,472907
13576983,3742085
13613053,1284936
13613053,1842218
13613053,2113816
13613053,6794970
5504302,566424
5507363,5554234
2981995,6264183
2981995,8173024
8941324,415761
8941324,1587922
8941324,2113816
8941324,3604805
8941324,5821646
8941324,11159922
8970646,1377342
8977387,254938
8977387,8534737
7704341,532821
7704341,6848180
7704341,10622979
3075805,723
3075805,881205
3094909,977786
3094909,2914836
3103499,834883
3103499,914878
3103499,1562154
3103499,2212573
3103499,2375733
18521760,679260
18521760,9121153
18743313,1170499
3676758,9224520
3720099,9708247
3722347,307830
3746639,192894
3746639,2835267
3747964,2191823
3747964,2235941
10576004,1214898
10576004,4647494
10634037,168854
10634037,1308178
10663640,1520135
10663640,7986733
28864177,2435171
28864177,3305437
28947324,124792
28947324,330605
28947324,11402019
28947324,11632709
29046908,7621758
10750154,199180
10750154,914884
10750154,2957785
10750154,6225061
10750154,7878495
10761212,18967
10761212,10500130
10766377,31827
10766377,2177132
10766377,6933317
10777706,700446
10777706,1397525
10777706,3235885
10778663,162035
10778663,6586214
10778840,527400
10778840,3446557
10778840,3691659
10778840,3805148
10778840,3879381
10778840,5754535
10778840,6604683
10778840,6877975
10778840,9100461
10778840,11793531
9663874,2689832
9664377,254938
9664377,368692
9673869,976527
11216582,2447962
11216582,9409443
11232856,2197558
11232856,3875755
11232856,5107395
11313132,317322
11313132,1470724
11313132,2041051
11313132,3533625
11313132,9669599
11313132,10232041
9802473,10023028
9802473,11059091
13752290,85977
13752290,381698
4281101,11937348
4369063,2129003
4376706,113216
4376706,1912817
4376708,843461
4376708,2690934
4376708,3854815
4391700,3960424
4391700,8556585
9039695,26189
12159636,6186528
12224410,1746745
7930999,1793810
7931007,10172453
7074,185378
7074,883213
7074,2031590
7294,113216
7294,1791085
7321,3044222
7321,6214191
7580,2597298
7580,3758246
7580,6769732
7608,12598
7608,108640
7608,219383
7608,514068
7845,1805804
7949,72431
8109,1407422
8109,2214635
8109,6530087
8184,850329
8184,11155818
8514,1397525
8763,9543410
3905191,1172429
3905191,1480874
3905191,3830893
3905191,4900612
3905191,5076141
3905191,6676364
3905191,8974034
3905191,10336969
53860,3648682
14945138,962658
14945138,4039829
14965067,6310425
14965067,6959542
14965067,9386237
14965067,9568894
15012233,1133259
15012233,5046919
15039139,7442421
15039139,7830913
940,36307
940,137745
940,162355
940,168986
940,206024
961,169829
961,428113
961,8024352
992,374944
1018,341654
1018,930097
1018,1449374
1018,1680982
1018,4441740
1018,4647494
1018,6556624
1018,6601751
1085,232581
1085,431580
1085,1021337
1085,5727352
1085,7759907
1088,95581
1088,173250
1088,676679
1088,1552804
1088,3614046
1088,4087457
1088,6462054
1088,6621937
1088,6793868
1142,3743935
1173,7907666
1226,279971
1226,2347772
15114954,3108144
15114954,6174012
10832091,193434
10842035,1936170
10847503,161504
10847503,6532143
10874647,11505613
6437914,18273
6437914,640473
6437914,6186528
6437914,6746894
6437914,8453777
6445576,1127282
6445576,1210631
6445576,2162179
6445576,3057817
6445576,3660147
6445576,5082856
6445576,6238067
6445576,8265882
34222729,1922372
34452887,1268357
34452887,4956584
34452887,12436378
1226,3569935
1226,3946133
1229,80195
1229,134643
1229,135970
1229,434954
1229,665504
1229,1680982
1273,142064
1273,192851
1273,5150489
1273,6828565
1273,11914925
1334,60480
1334,270311
1334,418787
1334,915193
1334,3655688
1334,4537077
1381,1961473
1381,3648682
1381,7744450
1381,12359044
1434,203764
1434,250273
1486,33611
1486,236447
1486,8024352
1486,9386237
1486,12690036
1566,80714
1566,265920
9427,83272
9427,2132432
9427,2606465
10042,133223
10042,1324890
10042,3959546
10042,4252328
10042,4396584
6611508,1404013
6611508,1917826
6611508,3094054
6611508,3722826
16922941,4999338
17050410,1514113
17050410,1705464
17050410,2549447
17050410,4956584
17050410,8545606
17050410,13755043
96553,8712633
17302594,1943825
17302594,7324894
17302594,11217218
15589097,2406201
15589097,8886345
15592045,1845972
15599973,1045335
15599973,6708563
9861851,973203
29120053,397264
29261651,1676081
18904813,1377342
18904813,2314132
18904813,3601661
18904813,4658335
18904813,6072228
19010386,8862462
29261651,8364568
29261651,8856989
29635015,1405425
29635015,11251293
5659677,34619
5659677,225909
5659677,366539
5659677,561834
5659677,887105
5659677,1382796
5659677,1562154
5659677,2234865
5659677,2359163
5659677,3314622
5659677,3664450
5659677,26338258
5768596,16009
5768596,262134
5768596,1731142
5768596,2079741
5768596,4005469
19010386,10608830
19171379,6071292
19171379,8064227
1043143,167932
1043143,30486350
1155356,735451
1155356,1141914
1155356,2940630
5831963,4816
5831963,383145
5831963,6081345
5846748,981385
1348749,9186142
4560965,479993
4560965,1256377
4560965,7961763
4563494,1054657
4563494,5009142
40062388,92764
11461596,2031590
11461596,2727814
11461596,7349881
11474326,211125
11474326,564007
11474326,854536
11474326,1302018
11474326,2113619
11474326,5499828
11474326,5958268
11474326,6115769
11474326,13201684
11475003,183094
11475003,3695039
11494393,384455
11494393,6488787
12343173,341654
12343173,7532270
12402549,4625855
12402549,7486661
10011155,1694364
10011155,2944102
17648860,177722
17648860,206188
17648860,1043984
17648860,2209760
17729147,826869
17729147,2597298
10088002,1042492
30077940,10970277
12639184,218937
12639184,890097
35017569,2347817
17797320,90881
19795940,1922372
19795940,5699844
19795940,6239670
4708601,17849
4708601,32890
4708601,56283
4708601,65221
4708601,84698
4708601,266905
4708601,454082
4708601,473302
4708601,653769
4730679,8454908
35342689,69152
35342689,96609
35342689,216333
35342689,687851
35342689,12158721
4876188,3359736
1566,2620032
1646,383145
1646,493608
1707,68942
1707,169613
1707,676679
1834,2333155
1920,85267
1920,271730
1920,730266
1930,610110
1930,2257132
2007,66782
2007,202695
2007,2562958
2112,1042492
2112,3878458
2112,4548473
143612,210122
143612,883632
143612,2151886
143612,2607323
146476,1178316
146476,1379888
146476,4017207
6619345,1007243
6619345,1878158
6619345,6588958
6619345,10300870
6702646,567314
6702646,2460152
2122,634078
2122,1980215
2236,110545
2236,112434
2236,5111253
2558,1020505
2691,426
2691,22075
2691,191899
2691,589220
2691,3440598
11608399,7760983
11619995,2201622
11619995,4732259
11632333,36076
11632333,4555933
11632333,4766913
11632333,5786491
11632333,6116483
11632333,7144424
11654350,2959051
12680085,1512686
12680085,2339563
12680085,7909564
12683126,1453834
12683126,3638814
12683126,5358964
12749140,677194
12749140,3481680
12752196,68942
12752196,2475940
12776408,2102493
12776408,4302795
12776408,10664190
6801328,107616
6801328,113110
6801328,242376
6801328,244844
6801328,283774
6801328,1878158
